2025-11-06 11:49:29.862 [main] INFO  c.d.s.SpringAiApplicationTests - The following 1 profile is active: "local"
2025-11-06 11:49:33.167 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Using the vector table name: vector_store. Is empty: false
2025-11-06 11:49:33.177 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Initializing PGVectorStore schema for table: vector_store in schema: public
2025-11-06 11:49:33.177 [main] INFO  o.s.ai.vectorstore.PgVectorStore - vectorTableValidationsEnabled false
2025-11-06 11:49:33.831 [main] INFO  c.d.s.SpringAiApplicationTests - Started SpringAiApplicationTests in 4.248 seconds (process running for 4.889)
2025-11-06 14:26:32.242 [main] INFO  c.d.s.SpringAiApplicationTests - Starting SpringAiApplicationTests using Java 17.0.11 with PID 23196 (started by jongsung park in C:\OneDrive\Projects\spring-ai\spring-ai)
2025-11-06 14:26:32.243 [main] DEBUG c.d.s.SpringAiApplicationTests - Running with Spring Boot v3.3.2, Spring v6.1.11
2025-11-06 14:26:32.244 [main] INFO  c.d.s.SpringAiApplicationTests - The following 1 profile is active: "local"
2025-11-06 14:26:35.391 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Using the vector table name: vector_store. Is empty: false
2025-11-06 14:26:35.411 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Initializing PGVectorStore schema for table: vector_store in schema: public
2025-11-06 14:26:35.412 [main] INFO  o.s.ai.vectorstore.PgVectorStore - vectorTableValidationsEnabled false
2025-11-06 14:26:36.299 [main] INFO  c.d.s.SpringAiApplicationTests - Started SpringAiApplicationTests in 4.333 seconds (process running for 5.072)
